year,month,day,team,yards_per_point
2021,11,21,Tennessee,11.5
2021,11,21,Buffalo,10.9
2021,11,21,New England,12.3
2021,11,21,New Orleans,17.8
2021,11,21,Arizona,16.9
2021,11,21,Tampa Bay,14.4
2021,11,21,Indianapolis,12.8
2021,11,21,Philadelphia,12.9
2021,11,21,Dallas,10.0
2021,11,21,Cincinnati,21.8
2021,11,21,LA Rams,27.8
2021,11,21,San Francisco,10.8
2021,11,21,LA Chargers,12.7
2021,11,21,Kansas City,12.6
2021,11,21,Carolina,10.0
2021,11,21,Minnesota,14.1
2021,11,21,Green Bay,23.1
2021,11,21,Cleveland,31.0
2021,11,21,Baltimore,30.4
2021,11,21,Las Vegas,21.4
2021,11,21,Washington,11.0
2021,11,21,NY Giants,10.7
2021,11,21,Pittsburgh,24.2
2021,11,21,Chicago,15.3
2021,11,21,Miami,15.9
2021,11,21,Denver,23.7
2021,11,21,NY Jets,21.5
2021,11,21,Detroit,19.1
2021,11,21,Houston,30.2
2021,11,21,Jacksonville,19.5
2021,11,14,New Orleans,15.0
2021,11,14,Tennessee,6.9
2021,11,14,Arizona,14.1
2021,11,14,Tampa Bay,15.6
2021,11,14,Buffalo,50.2
2021,11,14,New England,11.4
2021,11,14,Indianapolis,11.8
2021,11,14,Philadelphia,13.8
2021,11,14,LA Rams,21.7
2021,11,14,Cincinnati,21.8
2021,11,14,Seattle,7.4
2021,11,14,Dallas,18.1
2021,11,14,Green Bay,43.0
2021,11,14,Cleveland,8.8
2021,11,14,Atlanta,13.6
2021,11,14,LA Chargers,16.5
2021,11,14,San Francisco,19.8
2021,11,14,Minnesota,10.3
2021,11,14,Kansas City,18.2
2021,11,14,Las Vegas,25.2
2021,11,14,Pittsburgh,9.7
2021,11,14,Baltimore,30.4
2021,11,14,Denver,13.6
2021,11,14,Carolina,40.0
2021,11,14,NY Giants,10.7
2021,11,14,Chicago,15.3
2021,11,14,Miami,15.9
2021,11,14,Washington,34.2
2021,11,14,NY Jets,16.2
2021,11,14,Detroit,38.0
2021,11,14,Houston,30.2
2021,11,14,Jacksonville,24.2
2021,11,7,New Orleans,10.0
2021,11,7,Buffalo,13.5
